"r","rs","i","h","value"
"Andhra_Pradesh",3,"UPV","H32",0.452110655737705
"Andhra_Pradesh",3,"UPV","H34",0
"Andhra_Pradesh",3,"UPV","H31",0.333823770491803
"Andhra_Pradesh",3,"UPV","H29",0
"Andhra_Pradesh",3,"UPV","H35",0
"Andhra_Pradesh",3,"UPV","H30",0.00450273224043716
"Andhra_Pradesh",3,"UPV","H33",0.120595628415301
"Andhra_Pradesh",3,"UPV","H25",0.411649456521739
"Andhra_Pradesh",3,"UPV","H27",0.000507598784194529
"Andhra_Pradesh",3,"UPV","H24",0.272543478260869
"Andhra_Pradesh",3,"UPV","H22",0
"Andhra_Pradesh",3,"UPV","H28",0.0014
"Andhra_Pradesh",3,"UPV","H23",0.0083695652173913
"Andhra_Pradesh",3,"UPV","H26",0.174905454545455
"Andhra_Pradesh",3,"UPV","H11",0.581262711864407
"Andhra_Pradesh",3,"UPV","H13",0
"Andhra_Pradesh",3,"UPV","H10",0.348427966101695
"Andhra_Pradesh",3,"UPV","H8",0
"Andhra_Pradesh",3,"UPV","H14",0
"Andhra_Pradesh",3,"UPV","H9",0.000796610169491526
"Andhra_Pradesh",3,"UPV","H12",0.228632768361582
"Andhra_Pradesh",3,"UPV","H18",0.480426373626374
"Andhra_Pradesh",3,"UPV","H20",0
"Andhra_Pradesh",3,"UPV","H17",0.280175824175824
"Andhra_Pradesh",3,"UPV","H15",0
"Andhra_Pradesh",3,"UPV","H21",0
"Andhra_Pradesh",3,"UPV","H16",0
"Andhra_Pradesh",3,"UPV","H19",0.0874468864468865
"Andhra_Pradesh",3,"UPV","H4",0.554951612903226
"Andhra_Pradesh",3,"UPV","H6",0
"Andhra_Pradesh",3,"UPV","H3",0.425193548387097
"Andhra_Pradesh",3,"UPV","H1",0
"Andhra_Pradesh",3,"UPV","H7",0
"Andhra_Pradesh",3,"UPV","H2",0.0346559139784946
"Andhra_Pradesh",3,"UPV","H5",0.178376344086021
"Andhra_Pradesh",3,"ONSWIND","H32",0.107290983606557
"Andhra_Pradesh",3,"ONSWIND","H34",0.166936274509804
"Andhra_Pradesh",3,"ONSWIND","H31",0.124118852459016
"Andhra_Pradesh",3,"ONSWIND","H29",0.140418032786885
"Andhra_Pradesh",3,"ONSWIND","H35",0.0309
"Andhra_Pradesh",3,"ONSWIND","H30",0.13924043715847
"Andhra_Pradesh",3,"ONSWIND","H33",0.115989071038251
"Andhra_Pradesh",3,"ONSWIND","H25",0.180510869565217
"Andhra_Pradesh",3,"ONSWIND","H27",0.182209726443769
"Andhra_Pradesh",3,"ONSWIND","H24",0.207657608695652
"Andhra_Pradesh",3,"ONSWIND","H22",0.223960144927536
"Andhra_Pradesh",3,"ONSWIND","H28",0.164075
"Andhra_Pradesh",3,"ONSWIND","H23",0.23936231884058
"Andhra_Pradesh",3,"ONSWIND","H26",0.160385454545455
"Andhra_Pradesh",3,"ONSWIND","H11",0.0604957627118644
"Andhra_Pradesh",3,"ONSWIND","H13",0.102520408163265
"Andhra_Pradesh",3,"ONSWIND","H10",0.0626483050847457
"Andhra_Pradesh",3,"ONSWIND","H8",0.101610169491525
"Andhra_Pradesh",3,"ONSWIND","H14",0.073825
"Andhra_Pradesh",3,"ONSWIND","H9",0.0945141242937853
"Andhra_Pradesh",3,"ONSWIND","H12",0.0649039548022598
"Andhra_Pradesh",3,"ONSWIND","H18",0.0641098901098901
"Andhra_Pradesh",3,"ONSWIND","H20",0.117145922746781
"Andhra_Pradesh",3,"ONSWIND","H17",0.0797032967032967
"Andhra_Pradesh",3,"ONSWIND","H15",0.119773626373626
"Andhra_Pradesh",3,"ONSWIND","H21",0.107025
"Andhra_Pradesh",3,"ONSWIND","H16",0.116934065934066
"Andhra_Pradesh",3,"ONSWIND","H19",0.0586300366300366
"Andhra_Pradesh",3,"ONSWIND","H4",0.0375806451612903
"Andhra_Pradesh",3,"ONSWIND","H6",0.0963365384615385
"Andhra_Pradesh",3,"ONSWIND","H3",0.038274193548387
"Andhra_Pradesh",3,"ONSWIND","H1",0.080815668202765
"Andhra_Pradesh",3,"ONSWIND","H7",0.031875
"Andhra_Pradesh",3,"ONSWIND","H2",0.0630913978494624
"Andhra_Pradesh",3,"ONSWIND","H5",0.0468064516129032
"Andhra_Pradesh",4,"UPV","H32",0.469118852459017
"Andhra_Pradesh",4,"UPV","H34",0
"Andhra_Pradesh",4,"UPV","H31",0.333700819672131
"Andhra_Pradesh",4,"UPV","H29",0
"Andhra_Pradesh",4,"UPV","H35",0
"Andhra_Pradesh",4,"UPV","H30",0.00673224043715847
"Andhra_Pradesh",4,"UPV","H33",0.122710382513661
"Andhra_Pradesh",4,"UPV","H25",0.439896739130435
"Andhra_Pradesh",4,"UPV","H27",0.000243161094224924
"Andhra_Pradesh",4,"UPV","H24",0.295084239130435
"Andhra_Pradesh",4,"UPV","H22",0
"Andhra_Pradesh",4,"UPV","H28",0.002125
"Andhra_Pradesh",4,"UPV","H23",0.0102753623188406
"Andhra_Pradesh",4,"UPV","H26",0.171690909090909
"Andhra_Pradesh",4,"UPV","H11",0.58378813559322
"Andhra_Pradesh",4,"UPV","H13",0
