t,i,r,value
2026,NUCLEAR,Andhra_Pradesh,1208
2026,NUCLEAR,Gujarat,1208
2026,NUCLEAR,Madhya_Pradesh,270
2027,NUCLEAR,Andhra_Pradesh,1208
2027,NUCLEAR,Gujarat,1208
2027,NUCLEAR,Madhya_Pradesh,270
2028,NUCLEAR,Andhra_Pradesh,1208
2028,NUCLEAR,Gujarat,1208
2028,NUCLEAR,Madhya_Pradesh,270
2029,NUCLEAR,Andhra_Pradesh,1208
2029,NUCLEAR,Gujarat,1208
2029,NUCLEAR,Madhya_Pradesh,270
2030,NUCLEAR,Andhra_Pradesh,1208
2030,NUCLEAR,Gujarat,1208
2030,NUCLEAR,Madhya_Pradesh,270
2031,NUCLEAR,Madhya_Pradesh,280
2031,NUCLEAR,Maharashtra,1023
2031,NUCLEAR,Rajasthan,280
2031,NUCLEAR,Uttar_Pradesh,280
2032,NUCLEAR,Madhya_Pradesh,280
2032,NUCLEAR,Maharashtra,1023
2032,NUCLEAR,Rajasthan,280
2032,NUCLEAR,Uttar_Pradesh,280
2033,NUCLEAR,Madhya_Pradesh,280
2033,NUCLEAR,Maharashtra,1023
2033,NUCLEAR,Rajasthan,280
2033,NUCLEAR,Uttar_Pradesh,280
2034,NUCLEAR,Madhya_Pradesh,280
2034,NUCLEAR,Maharashtra,1023
2034,NUCLEAR,Rajasthan,280
2034,NUCLEAR,Uttar_Pradesh,280
2035,NUCLEAR,Madhya_Pradesh,280
2035,NUCLEAR,Maharashtra,1023
2035,NUCLEAR,Rajasthan,280
2035,NUCLEAR,Uttar_Pradesh,280
2036,NUCLEAR,Madhya_Pradesh,280
2036,NUCLEAR,Maharashtra,1023
2036,NUCLEAR,Rajasthan,280
2036,NUCLEAR,Uttar_Pradesh,280
2037,NUCLEAR,Madhya_Pradesh,280
2037,NUCLEAR,Maharashtra,1023
2037,NUCLEAR,Rajasthan,280
2037,NUCLEAR,Uttar_Pradesh,280
2038,NUCLEAR,Madhya_Pradesh,280
2038,NUCLEAR,Maharashtra,1023
2038,NUCLEAR,Rajasthan,280
2038,NUCLEAR,Uttar_Pradesh,280
2039,NUCLEAR,Madhya_Pradesh,280
2039,NUCLEAR,Maharashtra,1023
2039,NUCLEAR,Rajasthan,280
2039,NUCLEAR,Uttar_Pradesh,280
2040,NUCLEAR,Madhya_Pradesh,280
