t,i,r,rs,value
2023,DISTPV,Andhra_Pradesh,1,29.61
2023,DISTPV,Andhra_Pradesh,2,36.66
2023,DISTPV,Andhra_Pradesh,4,20.05
2023,DISTPV,Andhra_Pradesh,5,10.87
2023,DISTPV,Andhra_Pradesh,11,110.06
2023,DISTPV,Andhra_Pradesh,12,50.27
2023,DISTPV,Gujarat,18,1184.42
2023,DISTPV,Gujarat,19,131.88
2023,DISTPV,Gujarat,22,801.66
2023,DISTPV,Gujarat,23,195.47
2023,DISTPV,Gujarat,24,232.98
2023,DISTPV,Karnataka,30,118.63
2023,DISTPV,Karnataka,32,31.11
2023,DISTPV,Karnataka,38,76.32
2023,DISTPV,Karnataka,39,246.66
2023,DISTPV,Karnataka,40,151.49
2023,DISTPV,Madhya_Pradesh,44,84.19
2023,DISTPV,Madhya_Pradesh,46,100.53
2023,DISTPV,Madhya_Pradesh,48,16.41
2023,DISTPV,Madhya_Pradesh,49,57.59
2023,DISTPV,Madhya_Pradesh,51,34.86
2023,DISTPV,Madhya_Pradesh,54,49.54
2023,DISTPV,Maharashtra,59,303.23
2023,DISTPV,Maharashtra,62,728.98
2023,DISTPV,Maharashtra,69,428.17
2023,DISTPV,Maharashtra,70,164.1
2023,DISTPV,Maharashtra,71,52.22
2023,DISTPV,Maharashtra,75,37.06
2023,DISTPV,Rajasthan,79,459.1
2023,DISTPV,Rajasthan,80,253.18
2023,DISTPV,Rajasthan,83,139.4
2023,DISTPV,Rajasthan,91,219.44
2023,DISTPV,Rajasthan,94,379.75
2023,DISTPV,Tamil_Nadu,96,10.33
2023,DISTPV,Tamil_Nadu,98,175.65
2023,DISTPV,Tamil_Nadu,99,97.02
2023,DISTPV,Tamil_Nadu,100,15.23
2023,DISTPV,Tamil_Nadu,101,152.59
2023,DISTPV,Telangana,104,42.02
2023,DISTPV,Telangana,105,17.7
2023,DISTPV,Telangana,107,117.55
2023,DISTPV,Telangana,110,65.24
2023,DISTPV,Telangana,111,63.03
2023,DISTPV,West_Bengal,112,66.18
2023,DISTPV,Odisha,113,13.94
2023,DISTPV,Odisha,114,12.89
2023,DISTPV,Odisha,115,22.78
2023,DISTPV,Uttarakhand,116,277.13
2023,DISTPV,Goa,117,25.54
2023,DISTPV,Uttar_Pradesh,119,115.79
2023,DISTPV,Uttar_Pradesh,120,121.5
2023,DISTPV,Uttar_Pradesh,121,203.43
2023,DISTPV,Chandigarh,122,52.35
2023,DISTPV,Haryana,123,763.36
2023,DISTPV,Himachal_Pradesh,124,49.39
2023,DISTPV,Jharkhand,125,86.79
2023,DISTPV,Jammu_Kashmir,126,30.09
2023,DISTPV,Jammu_Kashmir,127,4.56
2023,DISTPV,Jammu_Kashmir,128,12.3
2023,DISTPV,Punjab,129,335.51
2023,DISTPV,Bihar,130,51.83
2023,DISTPV,Chhattisgarh,131,212.31
2023,DISTPV,Chhattisgarh,132,86.57
2023,DISTPV,Chhattisgarh,133,142.76
2023,DISTPV,Kerala,134,126.62
2023,DISTPV,Kerala,135,334.97
2023,DISTPV,Dadra_Nagar_Haveli,137,2.97
2023,DISTPV,Delhi,138,209.3
2023,DISTPV,Puducherry,139,28.95
2023,DISTPV,Sikkim,140,4.68
2023,DISTPV,Assam,141,42.92
2023,DISTPV,Mizoram,142,7.91
2023,DISTPV,Nagaland,143,3.04
