allt,i,cost_cap,cost_fom,cost_vom,heat_rate
2017,BATTERY_10,230679614.0,5766990.0,0.0,0.0
2018,BATTERY_10,230679614.0,5766990.0,0.0,0.0
2019,BATTERY_10,230679614.0,5766990.0,0.0,0.0
2020,BATTERY_10,230679614.0,5766990.0,0.0,0.0
2021,BATTERY_10,194843984.0,4871100.0,0.0,0.0
2022,BATTERY_10,179318853.0,4482971.0,0.0,0.0
2023,BATTERY_10,163793723.0,4094843.0,0.0,0.0
2024,BATTERY_10,148268592.0,3706715.0,0.0,0.0
2025,BATTERY_10,132743461.0,3318587.0,0.0,0.0
2026,BATTERY_10,124154178.0,3103854.0,0.0,0.0
2027,BATTERY_10,115564896.0,2889122.0,0.0,0.0
2028,BATTERY_10,106975613.0,2674390.0,0.0,0.0
2029,BATTERY_10,98386330.0,2459658.0,0.0,0.0
2030,BATTERY_10,89797047.0,2244926.0,0.0,0.0
2031,BATTERY_10,88674584.0,2216865.0,0.0,0.0
2032,BATTERY_10,87552121.0,2188803.0,0.0,0.0
2033,BATTERY_10,86429658.0,2160741.0,0.0,0.0
2034,BATTERY_10,85307195.0,2132680.0,0.0,0.0
2035,BATTERY_10,84184732.0,2104618.0,0.0,0.0
2036,BATTERY_10,83062269.0,2076557.0,0.0,0.0
2037,BATTERY_10,81939806.0,2048495.0,0.0,0.0
2038,BATTERY_10,80817343.0,2020434.0,0.0,0.0
2039,BATTERY_10,79694879.0,1992372.0,0.0,0.0
2040,BATTERY_10,78572416.0,1964310.0,0.0,0.0
2041,BATTERY_10,77449953.0,1936249.0,0.0,0.0
2042,BATTERY_10,76327490.0,1908187.0,0.0,0.0
2043,BATTERY_10,75205027.0,1880126.0,0.0,0.0
2044,BATTERY_10,74082564.0,1852064.0,0.0,0.0
2045,BATTERY_10,72960101.0,1824003.0,0.0,0.0
2046,BATTERY_10,71837638.0,1795941.0,0.0,0.0
2047,BATTERY_10,70715175.0,1767879.0,0.0,0.0
2048,BATTERY_10,69592712.0,1739818.0,0.0,0.0
2049,BATTERY_10,68470249.0,1711756.0,0.0,0.0
2050,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2051,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2052,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2053,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2054,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2055,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2056,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2057,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2058,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2059,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2060,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2061,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2062,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2063,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2064,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2065,BATTERY_10,67347785.0,1683695.0,0.0,0.0
2066,BATTERY_10,67347785.0,1683695.0,0.0,0.0
