wst,r,t,Value
fsu,p1,2010,1.0
fsu,p1,2012,1.12979518966883
fsu,p1,2014,1.1231673222387135
fsu,p1,2016,1.1545005480490622
fsu,p1,2018,1.1339339292326278
fsu,p1,2020,1.1542108822650274
fsu,p1,2022,1.1072621185927871
fsu,p1,2024,1.1023672325523448
fsu,p1,2026,1.109175357216382
fsu,p1,2028,1.1119924181339045
fsu,p1,2030,1.1596848738565515
fsu,p1,2032,1.1664177759438743
fsu,p1,2034,1.165475353714593
fsu,p1,2036,1.1319623150241112
fsu,p1,2038,1.1754597573567915
fsu,p1,2040,1.1973452321633502
fsu,p1,2042,1.2502474783285031
fsu,p1,2044,1.2645784687227537
fsu,p1,2046,1.2756442110379758
fsu,p1,2048,1.2495009298076107
fsu,p1,2050,1.1987048679090986
fsu,p2,2010,1.0
fsu,p2,2012,1.0612650254917997
fsu,p2,2014,1.0400473674764958
fsu,p2,2016,1.0541646293757694
fsu,p2,2018,1.0292857211214057
fsu,p2,2020,1.0491258590353587
fsu,p2,2022,1.0043349683055092
fsu,p2,2024,1.0107276265685576
fsu,p2,2026,1.007673637525963
fsu,p2,2028,1.012713950912438
fsu,p2,2030,1.053994632736306
fsu,p2,2032,1.069726286268864
fsu,p2,2034,1.0846042977900368
fsu,p2,2036,1.075821284223853
fsu,p2,2038,1.1181600997771521
fsu,p2,2040,1.1428681796441509
fsu,p2,2042,1.1963278688517762
fsu,p2,2044,1.207771810928428
fsu,p2,2046,1.2293290517832378
fsu,p2,2048,1.2126636694283757
fsu,p2,2050,1.1727094210969888
fsu,p3,2010,1.0
fsu,p3,2012,1.0835024681694414
fsu,p3,2014,1.0488581875621361
fsu,p3,2016,1.0498737434734184
fsu,p3,2018,1.0088755447359268
fsu,p3,2020,1.0409657303749678
fsu,p3,2022,0.9967082590889446
fsu,p3,2024,1.009180032302259
fsu,p3,2026,1.0001856705439938
fsu,p3,2028,1.010718370834474
fsu,p3,2030,1.0585278445747397
fsu,p3,2032,1.0712642680811353
fsu,p3,2034,1.0981614629063237
fsu,p3,2036,1.1018184636019326
fsu,p3,2038,1.1500727663134755
fsu,p3,2040,1.1721333000543956
fsu,p3,2042,1.22896733763022
fsu,p3,2044,1.238251449935554
fsu,p3,2046,1.2924942355530324
fsu,p3,2048,1.3040777812716018
fsu,p3,2050,1.25134987252217
fsu,p4,2010,1.0
fsu,p4,2012,1.0830391977155025
fsu,p4,2014,1.0524858519467322
fsu,p4,2016,1.0521597765836228
fsu,p4,2018,1.017368391363012
fsu,p4,2020,1.045418933925076
fsu,p4,2022,1.0136191404444312
fsu,p4,2024,1.015164709603937
fsu,p4,2026,1.0077412298378166
fsu,p4,2028,1.0248273023188554
fsu,p4,2030,1.0707811930066755
fsu,p4,2032,1.0759992444868152
fsu,p4,2034,1.087411746462755
fsu,p4,2036,1.0912696268616988
fsu,p4,2038,1.1327321385391005
fsu,p4,2040,1.143132828860194
fsu,p4,2042,1.1816036591364991
fsu,p4,2044,1.1871113532538795
fsu,p4,2046,1.222216399812484
fsu,p4,2048,1.2037496641173793
fsu,p4,2050,1.1422954236439269
fsu,p5,2010,1.0
fsu,p5,2012,0.9185027754123196
fsu,p5,2014,0.9027563456361348
fsu,p5,2016,0.9307264240290172
fsu,p5,2018,0.9069697833454186
fsu,p5,2020,0.9054247804466984
fsu,p5,2022,0.8566511394053918
fsu,p5,2024,0.8971436741431035
fsu,p5,2026,0.9039820163902942
fsu,p5,2028,0.8858263476929789
fsu,p5,2030,0.9056002367974204
