,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0.016797146,10.33332393,19.967,46.353,69.793,75.732,76.107,76.176,76.23,76.256,93.429,116.043,126.746,131.521,132.099,132.545,132.685,135.588,143.122,143.212,143.245
p10,534.6252872,865.8653054,1724.877,3289.209,4880.244,5550.63,5590.857,5619.568,5661.743,5703.688,5730.756,5785.108,5839.741,5898.34,5961.18,6016.414,6083.483,6169.91,6234.614,6244.263,6261.19
p100,0,0,0.582,1.589,3.76,5.573,7.18,8.646,10.23,11.737,12.987,13.872,14.51,15.016,15.4,15.737,15.973,16.263,16.633,16.989,17.585
p101,8.377123095,26.91038637,60.429,108.062,225.917,455.224,771.086,1112.019,1468.182,1789.591,2047.119,2223.922,2352.539,2457.938,2539.989,2616.925,2706.791,2799.835,2902.358,3003.535,3126.655
p102,5.087078563,14.23755315,26.519,43.235,96.564,210.683,333.552,452.192,584.292,707.289,808.093,882.047,946.031,1003.934,1052.09,1101.261,1162.142,1219.303,1285.167,1346.218,1417.225
p103,0,0,13.15,26.128,46.158,56.356,73.289,99.632,140.877,197.941,265.295,331.355,386.818,428.343,455.837,474.877,486.228,497.316,506.119,513.92,521.795
p104,0,0,1.2,2.543,4.367,5.058,6.123,7.753,10.287,13.767,17.791,21.64,24.833,27.217,28.835,30.088,30.968,31.781,32.61,33.23,33.859
p105,0,0,3.565,9.929,44.703,74.047,111.078,118.209,127.203,137.748,148.58,158.137,165.611,171.303,175.404,179.306,182.475,186.295,190.715,195.114,199.829
p106,0,0,1.247,3.148,14.659,20.95,26.133,26.527,27.104,27.905,28.686,29.34,29.88,30.353,30.707,30.961,31.067,31.189,31.352,31.529,31.749
p107,0,0,1.447,4.052,18.476,34.544,52.299,55.258,58.654,62.082,65.357,68.012,70.092,71.884,73.376,74.917,76.188,77.921,80.014,82.255,84.783
p108,0,0,0.133,0.623,5.318,6.22,7.158,8.201,9.555,11.262,13.344,15.687,18.215,20.834,23.355,25.788,27.968,29.994,32.104,34.107,36.191
p109,0,0,0.114,0.352,4.65,5.252,5.534,5.698,5.911,6.185,6.518,6.916,7.426,8.064,8.826,9.721,10.687,11.777,13.003,14.298,15.66
p11,107.3777754,132.949176,216.843,441.955,670.749,810.256,815.842,818.206,820.629,822.281,823.123,827.019,830.782,834.301,838.227,842.009,846.73,856.806,863.716,864.011,866.922
p110,0,0,0.108,0.4,2.781,3.415,4.029,4.628,5.42,6.469,7.79,9.36,11.122,13.016,14.906,16.758,18.485,20.124,21.759,23.401,25.017
p111,0.030012846,18.41141759,24.539,30.552,43.672,52.657,66.114,84.28,110.974,146.699,190.794,238.668,285.897,328.815,364.632,396.004,422.258,450.294,481.186,512.697,547.591
p112,0,15.96889695,36.285,44.161,60.846,66.828,74.576,83.388,95.695,110.956,128.734,147.28,165.305,182.113,196.845,210.988,223.78,237.698,252.892,268.444,284.952
p113,0.00074308,3.858751976,6.41,8.019,11.76,14.474,18.144,22.172,28.704,37.431,48.652,61.153,73.904,86.745,98.987,110.838,121.313,131.022,139.96,147.737,155.61
p114,0,5.660933492,10.814,13.244,18.95,22.76,27.036,32.605,40.426,50.003,60.557,70.763,79.932,87.767,94.343,100.627,105.815,112.306,120.112,129.014,139.514
p115,0.438228156,35.5977707,68.067,92.524,123.955,164.661,204.604,232.166,255.695,270.468,280.271,286.398,291.677,296.514,300.425,304.635,308.357,312.927,318.321,322.185,328.278
