,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0.016797146,10.33332393,24.6245,61.1312,100.0497,140.1896,145.0577,165.1903,216.8654,319.5477,531.4102,702.4022,829.9582,920.5982,995.1998,1080.7815,1175.1498,1262.6308,1295.8974,1408.8768,1551.246
p10,534.6252872,865.8653054,1685.4681,3163.8447,4729.0517,5587.6208,6384.928,6585.9931,6958.9691,7625.4821,8569.0343,9365.0409,10048.3809,10637.0773,11125.2428,11842.8851,12500.3877,13034.0115,13463.9353,13849.1924,14219.8574
p100,0,0,0.4871,1.3163,3.0106,6.9568,13.1826,23.0994,28.9629,43.1187,69.6136,95.1774,117.1332,134.411,149.8032,161.9853,174.4885,184.3737,205.7756,224.1865,238.0245
p101,8.377123095,26.91038637,62.0559,106.3281,210.8384,424.7371,751.3363,1253.3787,2056.1972,3302.8687,5230.5932,7139.833,7567.429,7979.3296,8364.494,8870.049,9311.5362,9559.2532,9715.5694,9869.7544,10742.8526
p102,5.087078563,14.23755315,24.7052,45.3595,111.633,217.7796,362.6615,601.3201,993.8649,1602.7089,2585.7856,3544.0125,3711.7605,3878.1376,4033.1631,4250.4234,4448.3802,4560.502,4643.1734,4730.7741,5181.3825
p103,0,0,12.7858,25.1095,44.6253,60.5334,84.2197,130.3092,247.8361,540.5599,1064.4974,1718.4532,2414.4182,3063.494,3626.4948,4137.3834,4577.2001,4957.9658,5480.5454,6006.9254,6341.0634
p104,0,0,0.9838,2.1776,3.7691,4.8328,6.4716,9.4823,16.3666,31.6662,56.8793,86.2988,116.8372,145.6442,171.1596,197.4636,222.8828,248.2545,281.7419,320.6315,349.6872
p105,0,0,3.5431,9.3631,43.2733,65.9797,99.715,117.5306,158.6853,256.314,462.8873,696.4784,936.8883,1174.5141,1414.443,1641.3742,1880.0479,2120.6876,2401.9683,2697.7126,2892.9957
p106,0,0,1.1864,3.3067,14.3751,23.5516,38.9437,43.7684,54.0833,80.8478,150.8917,223.4767,295.202,364.6921,439.647,514.3538,598.1977,683.2719,779.1607,878.3009,932.8396
p107,0,0,1.5295,4.4592,20.1893,41.8339,68.8468,82.0193,113.3324,186.4768,341.1834,518.4573,704.8298,891.1231,1079.3828,1253.9119,1420.7441,1569.9642,1733.8477,1890.2653,2001.9358
p108,0,0,0.1463,0.6601,5.0024,5.0024,5.0024,5.0024,5.0024,5.1156,6.3894,8.0765,10.2386,13.367,17.5137,22.7772,29.5361,37.6294,49.3406,64.1134,94.4263
p109,0,0,0.1479,0.6054,4.8246,4.8246,4.8246,4.8246,4.8246,5.3851,8.4726,12.9979,19.6143,29.7493,44.5655,65.6801,96.1328,138.9888,201.6277,287.7585,430.2065
p11,107.3777754,132.949176,225.2711,483.6968,732.6764,917.6538,1087.5041,1118.2034,1165.0601,1255.6702,1395.5531,1514.3766,1618.9402,1700.2887,1753.9554,1899.4511,2029.8802,2135.3893,2221.7645,2298.6628,2367.9846
p110,0,0,0.0541,0.1891,2.1188,2.1188,2.1188,2.1188,2.1188,2.1472,2.5951,3.2469,4.156,5.376,7.1034,9.3451,12.3476,16.1731,21.3634,28.1707,42.9777
p111,0.030012846,18.41141759,24.2472,30.3943,43.9346,56.9237,76.8164,108.6986,161.0305,248.3913,394.2053,603.9232,885.4696,1234.5673,1636.08,1776.7309,1934.3433,2099.9873,2287.7151,2495.1792,2683.2574
p112,0,15.96889695,36.8579,45.0972,62.8049,73.0702,88.7651,114.3579,157.6921,232.5006,365.6645,559.1194,825.0112,1164.3964,1566.7948,1758.543,1968.3595,2181.4298,2414.202,2658.4088,2871.0945
p113,0.00074308,3.858751976,6.0825,7.5968,11.0995,14.762,20.5753,29.9372,45.223,70.2205,111.4196,170.9044,250.2915,347.5168,456.7053,494.5124,533.958,573.0993,615.4578,657.7507,690.2524
p114,0,5.660933492,10.8603,12.8883,17.3897,19.1678,22.2007,27.3712,36.3895,51.8608,80.4854,123.6989,185.4187,267.6038,370.0657,425.099,491.0653,564.8257,652.068,747.8703,834.3651
