"r","share"
"p01001",0.00370237707131613
"p01015",0.000192122142593794
"p01033",1.90274185034557e-05
"p01039",0.00100614384750537
"p01055",7.46802476330493e-07
"p01063",0.000489743536665545
"p01069",2.66650281019073e-07
"p01073",0.0142708060752976
"p01081",0.00292128089134996
"p01085",7.87542536395828e-05
"p01097",0.0052241468609603
"p01103",0.00192035155880287
"p01117",0.00229116129499879
"p01121",3.63320827929073e-05
"p01123",0.00127132608174423
"p01129",0.000483724462710924
"p04001",0.00723469574692698
"p04003",0.00111555351794487
"p04013",0.00977958519221015
"p04015",0.00126688386691153
"p04017",0.00177213242280964
"p04019",0.000237042401730648
"p04021",0.000694123785890642
"p04023",1.79720435359223e-06
"p04027",0.000119310045699398
"p05007",0.0017805592778339
"p05031",2.97560263232978e-05
"p05047",0.000150791615697504
"p05055",2.47608241066933e-07
"p05057",0.00221669463377284
"p05059",0.00178729430900053
"p05063",0.00338888609795618
"p05069",0.0039981819271646
"p05093",0.00372698137101694
"p05103",1.86915260750825e-05
"p05119",0.000266944050491962
"p05139",0.003311644678272
"p05143",0.000103161875080684
"p06001",0.000337583448650328
"p06011",0.000665641285350764
"p06013",0.00298546574986132
"p06017",5.74292272815565e-06
"p06019",0.000318035185980481
"p06023",0.000139370612171429
"p06025",0.000438165286415638
"p06027",2.98816179758568e-05
"p06029",0.00312512264820026
"p06031",2.42785218393377e-05
"p06033",1.42548793776796e-05
"p06035",8.67523268910731e-06
"p06037",0.00495750608867679
"p06039",7.94426811805218e-06
"p06047",8.95246134855339e-08
"p06053",0.00133734350394616
"p06059",0.00201552573287203
"p06061",0.000184355378263526
"p06065",0.000664329863049466
"p06067",0.000743544686330198
"p06071",0.00213584572218109
"p06073",0.00147733328053779
"p06077",0.000343482387629099
"p06081",1.50494256778811e-07
"p06083",2.12035394974135e-06
"p06085",0.000924963772085726
"p06089",0.000126755403022565
"p06095",2.23091858818731e-05
"p06097",0.000153571325074131
"p06099",0.000641497121441559
"p06101",0.000769220241449838
"p06103",5.2532420223719e-06
"p06107",5.609365981502e-06
"p06111",0.000153624366176951
"p06113",4.14593574394281e-07
"p08001",0.00158786167696669
"p08003",1.11534064463302e-05
"p08005",1.19847940032978e-12
"p08013",5.57772073217599e-06
"p08031",7.43352653376644e-05
"p08041",0.00162155035344516
"p08045",3.29651346895908e-07
"p08059",1.39566953059188e-05
"p08063",2.31773811381836e-06
"p08069",0.0013318116891697
"p08071",6.99552425972492e-09
"p08073",5.22829902939636e-05
"p08077",8.86624274049367e-07
"p08081",0.00521562796571428
"p08087",0.00195595156723279
"p08089",1.56101941892954e-08
"p08099",3.81775612975051e-09
"p08101",0.00433581128836227
"p08107",0.0020285033538022
"p08123",0.00198597584500559
"p09110",0.00011343456395869
"p09120",0.00172066205787763
"p09130",0.000719664237625961
"p09140",0.00121972052653814
"p09150",0.00144455113028228
"p09160",8.89945859707381e-07
"p09170",0.00104742333775563
"p09180",0.0002105161952954
"p09190",3.17910862918368e-06
"p10001",0.000371416731256293
"p10003",0.000770063637770396
"p10005",0.0001023652158613
"p12001",0.000722482388828593
"p12005",0.00115583285136825
"p12009",0.00143561695173698
"p12011",0.0038292067722714
"p12017",0.00576428259011516
"p12031",0.00338197825145319
"p12033",0.000671246852751806
"p12049",0.00155298205173319
"p12057",0.00360773804766195
