year,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,6.339105343,6.376579074,5.784823265,6.309621418,7.053058004,5.600153004,5.395567081,5.885687432,5.64701899
2011,5.691505135,5.858747148,5.233547218,5.863821807,6.210416069,4.923999514,4.912685283,5.514014985,5.321529226
2012,4.18152872,4.014507984,3.522941568,3.945991759,4.686063043,3.402970633,3.333550525,3.926187461,4.064278333
2013,6.58196469,5.075712868,4.604833511,5.072144024,5.292952003,4.426246834,4.333297932,4.916584723,4.867539261
2014,7.153902173,5.506465486,5.630294146,6.035779975,5.888172719,5.054797105,5.010559698,5.329814697,5.42739801
2015,4.620796933,3.141085595,3.041679948,3.612532821,4.250015511,3.126024359,3.02629303,3.494462141,3.522804
2016,4.199975207,2.986693814,2.940406706,2.855626754,3.682743382,2.732062077,2.526911459,2.891503094,2.991603669
2017,4.36883353,3.393469406,3.468230308,3.646209284,3.975036518,3.312338878,3.111733834,3.422479352,3.417509476
2018,4.797918494,3.449491982,3.330955044,3.536005694,3.828695964,3.284392742,3.087438246,3.51748013,3.522065202
2019,4.46769,2.911846,2.507891,2.735053,3.343941,2.685726,2.325758,2.900728,3.058296
2020,3.995611,2.727036,2.312561,2.540814,3.15773,2.522095,2.176754,2.686785,2.677787
2021,4.19431,2.879163,2.445689,2.706895,3.322731,2.662132,2.306669,2.890885,2.932699
2022,3.932437,2.893799,2.509048,2.761685,3.278816,2.692428,2.367602,2.823007,2.758103
2023,3.589609,2.908395,2.611006,2.849443,3.396761,2.792693,2.46781,2.88151,2.833688
2024,3.644245,3.025429,2.762299,3.001442,3.553237,2.952092,2.627969,3.073578,2.983318
2025,3.84849,3.223747,3.046117,3.320426,3.830719,3.231432,2.942294,3.398648,3.312241
2026,3.916533,3.272972,3.246392,3.570152,4.023937,3.457781,3.212339,3.698214,3.653157
2027,3.963276,3.342318,3.366292,3.705829,4.142471,3.591431,3.373152,3.884364,3.812908
2028,3.888424,3.352627,3.450456,3.793051,4.182298,3.666942,3.468661,3.986866,3.926555
2029,3.738994,3.301988,3.469573,3.799258,4.164834,3.662893,3.477669,3.998923,3.895533
2030,3.553334,3.240848,3.417909,3.748988,4.092154,3.590828,3.434422,3.938907,3.738913
2031,3.564653,3.219588,3.392595,3.720566,4.060041,3.542493,3.395366,3.917578,3.673582
2032,3.608298,3.25872,3.394349,3.742999,4.089479,3.56896,3.422478,3.961569,3.691527
2033,3.698173,3.330038,3.450624,3.836752,4.153841,3.637327,3.492261,4.034191,3.764974
2034,3.796487,3.387371,3.493032,3.895278,4.208335,3.697594,3.546176,4.092314,3.844545
2035,3.807711,3.337755,3.475361,3.888819,4.201047,3.686885,3.543251,4.121181,3.88074
2036,3.831255,3.297193,3.465978,3.896206,4.194272,3.667579,3.545261,4.150995,3.919838
2037,3.904499,3.320693,3.480826,3.95733,4.209105,3.691332,3.580743,4.255341,4.032061
2038,3.909986,3.329408,3.493555,3.98782,4.217746,3.70987,3.610215,4.314021,4.076302
2039,3.911659,3.317827,3.490933,4.002022,4.212842,3.70677,3.617074,4.32931,4.129232
2040,3.948356,3.331691,3.495702,4.021438,4.219908,3.705914,3.624243,4.345497,4.141307
2041,3.995121,3.345617,3.489335,4.02512,4.21257,3.694762,3.621122,4.351688,4.140859
2042,4.056709,3.366476,3.499499,4.044919,4.215014,3.71126,3.638986,4.370358,4.081423
2043,4.077829,3.361407,3.507045,4.072853,4.217319,3.726669,3.653077,4.405063,4.116203
2044,4.105436,3.370788,3.510302,4.099629,4.225526,3.73583,3.656003,4.463525,4.180229
2045,4.112894,3.391472,3.515682,4.127813,4.237758,3.757016,3.673874,4.48248,4.173598
2046,4.165529,3.426966,3.542111,4.184354,4.274487,3.786722,3.721779,4.556293,4.264822
2047,4.237249,3.479971,3.590492,4.241303,4.324441,3.834472,3.76796,4.636666,4.353005
2048,4.282402,3.506608,3.617539,4.28936,4.351029,3.867515,3.80404,4.690476,4.430844
2049,4.35374,3.544418,3.633911,4.320352,4.362709,3.88158,3.826584,4.720174,4.486753
2050,4.401559,3.579217,3.676712,4.393696,4.409736,3.929488,3.889379,4.823413,4.558075
