r,fall,spri,summ,wint
p1,6803,7550,6222,8241
p10,23718,19254,24680,17351
p100,482,478,546,507
p101,26098,25486,27494,25379
p102,14848,14500,15642,14438
p103,16071,13277,19071,12792
p104,1555,1381,1752,1375
p105,9937,9666,11405,9329
p106,2662,2583,3071,2460
p107,4213,4085,4851,3889
p108,1702,1661,1968,1597
p109,10090,9627,11263,9541
p11,3745,2447,3511,2697
p110,1119,1036,1235,1048
p111,8414,7785,9287,7881
p112,10857,10045,11986,10174
p113,2431,2249,2684,2278
p114,3925,3633,4334,3676
p115,4765,4730,5393,5035
p116,2741,2721,3104,2889
p117,2422,2241,2674,2269
p118,3406,3179,3767,3181
p119,574,575,645,611
p12,1646,1461,1912,1585
p120,336,337,378,358
p121,1060,1063,1192,1130
p122,19743,20265,23127,18084
p123,12874,13378,14862,11545
p124,107,114,132,87
p125,2215,2355,2726,1794
p126,15084,15993,18499,12199
p127,20783,21319,24231,18196
p128,4180,3916,4978,3072
p129,824,802,1009,905
p13,4429,4505,5281,2649
p130,1710,1576,2143,1765
p131,9781,8630,12083,8875
p132,5545,5729,6850,4845
p133,1426,1276,1802,1211
p134,1542,1717,1771,1828
p14,537,570,594,640
p15,2028,2033,2756,2044
p16,769,731,942,735
p17,942,1068,1057,1179
p18,509,569,633,635
p19,13,14,15,16
p2,3519,4102,3820,4347
p20,271,265,331,301
p21,1040,1081,1209,1197
p22,221,263,249,281
p23,135,160,161,175
p24,899,859,1051,935
p25,3974,3661,4494,3917
p26,152,202,170,213
p27,1643,1397,1600,1237
p28,10190,9789,11802,6855
p29,169,184,220,149
p3,1647,1716,1995,1888
p30,2018,1906,2273,1358
p31,2698,2489,2968,2242
p32,188,198,213,215
p33,5926,5472,7112,5984
p34,1798,1834,2259,2049
p35,93,84,107,94
p36,544,489,630,546
p37,1548,1301,1748,1448
p38,1561,1423,1813,1584
p39,303,239,357,272
p4,671,668,802,789
p40,1981,1453,2347,1543
p41,3420,2838,3734,2444
p42,695,587,781,622
p43,9644,8185,10909,8577
p44,290,244,326,257
p45,1872,1551,2150,1644
p46,1389,1171,1566,1227
p47,1113,1001,1225,788
p48,3689,3307,4057,2608
p49,125,109,137,88
p5,4956,5361,5572,5700
p50,7387,6365,7827,5304
p51,4110,3599,4324,3019
p52,279,254,322,201
p53,7462,6421,8420,5204
p54,4579,3865,5222,3602
p55,2106,1885,2366,1837
p56,2758,2462,2884,1991
p57,1430,1248,1485,1013
p58,11762,11261,12443,9409
p59,1163,1074,1213,806
p6,1447,1478,1629,1574
p60,639,579,661,505
p61,1446,1313,1487,1236
p62,1371,1248,1413,888
p63,24357,22135,25067,17113
p64,6787,6189,6991,5591
p65,10243,9311,10540,8037
p66,3879,3675,4047,3140
p67,15386,13986,15834,11021
p68,565,473,633,491
p69,813,661,917,698
p7,242,179,318,177
p70,5277,4438,6038,4522
p71,364,319,414,336
p72,7626,6439,8753,6566
p73,504,434,576,451
p74,351,291,418,285
p75,1808,1493,2151,1442
p76,1968,1625,2342,1571
p77,483,389,562,412
p78,1296,1069,1541,1028
p79,4901,4044,5830,3889
p8,219,183,247,202
p80,19142,15647,22199,14031
p81,4492,3913,5183,3682
p82,1621,1431,1870,1322
p83,2669,2333,3076,2185
p84,835,750,938,766
p85,6240,5992,6632,5029
p86,3791,3637,3998,3048
p87,6756,6393,7265,5863
p88,2017,1909,2207,1985
p89,8326,7900,9195,8131
p9,20969,16429,23403,15785
p90,7808,7594,8660,7797
p91,2223,2174,2461,2231
p92,17584,16664,19224,17377
p93,2641,2526,2938,2589
p94,25149,24324,27900,24780
p95,5054,4546,5519,4975
p96,9629,8895,10889,10522
p97,12841,11567,14117,12815
p98,11874,10502,13329,12645
p99,16494,15662,18473,16220
