t,wind-ofs_1*wind-ofs_7,wind-ofs_8*wind-ofs_14
2010,1.0,1.0
2011,1.0,1.0
2012,1.0,1.0
2013,1.0,1.0
2014,1.0,1.0
2015,1.0,1.0
2016,1.0,1.0
2017,1.0,1.0
2018,1.0,1.0
2019,1.0,1.0
2020,1.0,1.0
2021,0.910778234267523,0.9162548640638695
2022,0.867839227196725,0.8745882144129651
2023,0.8373735167773344,0.8450252559262618
2024,0.813742475991429,0.8220944438919244
2025,0.7944345097065363,0.8033586062753576
2026,0.7781098568656571,0.7875176812451911
2027,0.7639687994038414,0.7737956477886542
2028,0.7514955026357383,0.7616919565246054
2029,0.7403377585012403,0.7508648357543168
2030,0.7302443512047242,0.7410705136874302
2031,0.7210297923330434,0.73212899813775
2032,0.7125532198074307,0.7239036011941681
2033,0.7047051393754684,0.7162880731075835
2034,0.6973987514304423,0.7091981861034127
2035,0.6905640819136528,0.7025660396510466
2036,0.6841438967950696,0.6963360957995182
2037,0.6780907851455495,0.6904623483869978
2038,0.6723650328229837,0.6849062600813711
2039,0.6669330410110516,0.6796352276167092
2040,0.6617661323046704,0.6746214233568314
2041,0.6568396337145356,0.6698409055498227
2042,0.6521321644727598,0.6652729266809733
2043,0.6476250748428547,0.6608993900001424
2044,0.643302000225146,0.6567044155823719
2045,0.639148502317242,0.6526739930565604
2046,0.6351517780747515,0.6487956987360937
2047,0.6313004220019756,0.645058464969976
2048,0.6275842294028174,0.6414523896328566
2049,0.6239940339402534,0.6379685779658051
2050,0.6205215713356594,0.6345990103775665
