t,capcost,fom,vom,cf_improvement
2010,6309.568739310271,31.547843696551354,0.0,1.0
2011,5860.086885131101,31.01129345758559,0.0,1.0
2012,5410.605028927257,30.47474320849646,0.0,1.0
2013,3755.1643831056294,29.93819294928396,0.0,1.0
2014,2825.7308047056367,29.4016427103182,0.0,1.0
2015,2821.280282420129,28.865092461229068,0.0,1.0
2016,2456.7007168991886,28.328542212139936,0.0,1.0
2017,1503.161143818444,27.255441713961673,0.0,1.0
2018,1440.7683612341104,25.21273594205736,0.0,1.0
2019,1378.3755786497768,23.170030170153055,0.0,1.0
2020,1302.773648,22.62369024,0.0,1.0
2021,1139.2,20.5568,0.0,1.0178373883259704
2022,1079.673393,19.71579054,0.0,1.03567477997942
2023,1020.146785,18.88780012,0.0,1.0535121683053903
2024,960.620178,18.06644251,0.0,1.0713495599588398
2025,901.0935707,17.25120903,0.0,1.0891869516122894
2026,841.5669633,16.44164171,0.0,1.1070243399382598
2027,782.040356,15.63732715,0.0,1.1248617315917093
2028,722.5137486,14.8378912,0.0,1.142699123245159
2029,662.9871413,14.04299441,0.0,1.1605365115711295
2030,603.460534,13.25232813,0.0,1.1783739032245788
2031,596.0386245,13.12682103,0.0,1.1809355864041273
2032,588.616715,13.00205968,0.0,1.183497269583676
2033,581.1948055,12.87802236,0.0,1.1860589494357452
2034,573.772896,12.75468817,0.0,1.188620632615294
2035,566.3509865,12.63203703,0.0,1.1911823157948425
2036,558.929077,12.5100496,0.0,1.193743998974391
2037,551.5071675,12.38870728,0.0,1.1963056788264603
2038,544.085258,12.26799215,0.0,1.1988673620060089
2039,536.6633485,12.14788695,0.0,1.2014290451855574
2040,529.241439,12.02837504,0.0,1.2039907283651061
2041,521.8195295,11.90944039,0.0,1.2065524082171752
2042,514.39762,11.79106753,0.0,1.209114091396724
2043,506.9757105,11.67324155,0.0,1.2116757745762725
2044,499.553801,11.55594805,0.0,1.2142374577558208
2045,492.1318915,11.43917316,0.0,1.2167991409353696
2046,484.709982,11.32290345,0.0,1.219360820787439
2047,477.2880725,11.20712597,0.0,1.2219225039669874
2048,469.866163,11.09182821,0.0,1.224484187146536
2049,462.4442535,10.97699807,0.0,1.2270458703260845
2050,455.022344,10.86262387,0.0,1.2296075501781538
