raw,display
biopower,biopower
beccs_mod,beccs_mod
beccs_max,beccs_max
coal-ccs_mod,coal-ccs_mod
coal-ccs_max,coal-ccs_max
coal-ccs-f1,coal-ccs-flex
coal-ccs-f2,coal-ccs-flex
coal-ccs-f3,coal-ccs-flex
coal-igcc,coal
coal-new,coal
coaloldscr,coal
coalolduns,coal
cofirenew,cofire
cofireold,cofire
distpv,distpv
gas-cc,gas-cc
gas-cc-ccs_mod,gas-cc-ccs_mod
gas-cc-ccs_max,gas-cc-ccs_max
gas-cc-ccs-f1,gas-cc-ccs-flex
gas-cc-ccs-f2,gas-cc-ccs-flex
gas-cc-ccs-f3,gas-cc-ccs-flex
gas-ct,gas-ct
geothermal,geothermal
lfill-gas,lfill-gas
nuclear,nuclear
nuclear-smr,nuclear-smr
o-g-s,o-g-s
storage-h2,storage-h2
battery,battery
battery_2,battery_2
battery_4,battery_4
battery_6,battery_6
battery_8,battery_8
battery_10,battery_10
caes,caes
pumped-hydro,pumped-hydro
pumped-hydro-flex,pumped-hydro-flex
upv_1,upv
upv_2,upv
upv_3,upv
upv_4,upv
upv_5,upv
upv_6,upv
upv_7,upv
upv_8,upv
upv_9,upv
upv_her,upv
dupv_1,dupv
dupv_2,dupv
dupv_3,dupv
dupv_4,dupv
dupv_5,dupv
dupv_6,dupv
dupv_7,dupv
dupv_8,dupv
dupv_9,dupv
dupv_her,dupv
pvb1_1,pvb
pvb1_2,pvb
pvb1_3,pvb
pvb1_4,pvb
pvb1_5,pvb
pvb1_6,pvb
pvb1_7,pvb
pvb1_8,pvb
pvb1_9,pvb
pvb1_10,pvb
pvb2_1,pvb
pvb2_2,pvb
pvb2_3,pvb
pvb2_4,pvb
pvb2_5,pvb
pvb2_6,pvb
pvb2_7,pvb
pvb2_8,pvb
pvb2_9,pvb
pvb2_10,pvb
pvb3_1,pvb
pvb3_2,pvb
pvb3_3,pvb
pvb3_4,pvb
pvb3_5,pvb
pvb3_6,pvb
pvb3_7,pvb
pvb3_8,pvb
pvb3_9,pvb
pvb3_10,pvb
wind-ofs_1,wind-ofs
wind-ofs_2,wind-ofs
wind-ofs_3,wind-ofs
wind-ofs_4,wind-ofs
wind-ofs_5,wind-ofs
wind-ofs_6,wind-ofs
wind-ofs_7,wind-ofs
wind-ofs_8,wind-ofs
wind-ofs_9,wind-ofs
wind-ofs_10,wind-ofs
wind-ofs_11,wind-ofs
wind-ofs_12,wind-ofs
wind-ofs_13,wind-ofs
wind-ofs_14,wind-ofs
wind-ofs_15,wind-ofs
wind-ons_1,wind-ons
wind-ons_2,wind-ons
wind-ons_3,wind-ons
wind-ons_4,wind-ons
wind-ons_5,wind-ons
wind-ons_6,wind-ons
